excellent,4.0
sensational,4.0
virtuous,3.875
better,3.875
quaint,3.875
majestic,3.875
gracious,3.875
righteous,3.875
brilliant,3.875
happy,3.875
altruistic,3.875
amicable,3.875
nice,3.875
salutary,3.875
fabulous,3.875
attractive,3.875
worthy,3.875
wondrous,3.75
congenial,3.75
admirable,3.75
masterful,3.75
best,3.75
bonny,3.75
fragrant,3.75
harmonious,3.75
ideal,3.75
sumptuous,3.75
cheerful,3.75
healthful,3.75
amiable,3.75
sane,3.75
gorgeous,3.75
outstanding,3.75
privileged,3.75
beneficent,3.75
jolly,3.75
heroic,3.75
favorable,3.75
marvelous,3.75
consummate,3.75
wonderful,3.75
picturesque,3.75
delightful,3.75
courteous,3.75
lucky,3.75
merry,3.75
merciful,3.75
prize,3.625
valiant,3.625
splendid,3.625
benevolent,3.625
angelic,3.625
wholesome,3.625
inspirational,3.625
advantageous,3.625
adventuresome,3.625
sublime,3.625
auspicious,3.625
faithful,3.625
comely,3.625
sociable,3.625
vivid,3.625
luxuriant,3.625
laudable,3.625
sincere,3.625
rosy,3.625
handsome,3.625
affable,3.625
credible,3.625
reverent,3.625
extraordinary,3.625
lyrical,3.625
adroitly,3.625
affectionate,3.625
sophisticated,3.625
commendable,3.625
eager,3.625
proficient,3.625
luxurious,3.625
suave,3.625
fond,3.625
respectful,3.625
compassionate,3.625
chaste,3.625
foremost,3.625
perfect,3.625
prudent,3.625
profound,3.625
ingenious,3.625
skillful,3.625
resplendent,3.625
enthusiastic,3.625
super,3.625
pleased,3.625
playful,3.625
precious,3.625
upbeat,3.625
vivacious,3.625
lovely,3.625
wise,3.625
amazing,3.5
dignified,3.5
pleasurable,3.5
congratulatory,3.5
considerate,3.5
blameless,3.5
stylish,3.5
magnificent,3.5
sprightly,3.5
grateful,3.5
resourceful,3.5
thankful,3.5
satisfactory,3.5
meritorious,3.5
warmhearted,3.5
graceful,3.5
enjoyable,3.5
hopeful,3.5
merrily,3.5
poignant,3.5
carefree,3.5
important,3.375
reputable,3.375
decent,3.375
precise,3.25
lucrative,3.25
good,3.25
prolific,3.25
intimate,3.25
meticulous,3.25
healthy,3.25
proper,3.25
fortunate,3.25
prosperous,3.25
successful,3.125
fair,3.125
preeminent,3.125
beneficial,3.125
logical,3.125
positive,3.125
productive,3.125
easy,3.125
fertile,3.125
manageable,3.125
authentic,3.125
correct,3.125
selective,3.125
adventurous,3.125
resolute,3.125
pleasant,3.125
progressive,3.125
genial,3.125
superior,3.125
diligent,3.125
accessible,3.125
delicate,3.056
pardon,3.0
outwit,3.0
tingle,3.0
tenacity,3.0
regal,3.0
pride,3.0
worth,3.0
supreme,3.0
compassion,3.0
desirable,3.0
prodigy,3.0
gratification,3.0
steadfastness,3.0
triumph,3.0
veritable,3.0
elegant,3.0
desirous,3.0
liberty,3.0
endorse,3.0
palatial,3.0
hero,3.0
festive,3.0
harmonize,3.0
humility,3.0
celebration,3.0
intrigue,3.0
fantastic,3.0
amiability,3.0
patience,3.0
warm,3.0
radiance,3.0
gusto,3.0
beauty,3.0
loyalty,3.0
modest,3.0
unselfish,3.0
contentment,3.0
appreciate,3.0
fidelity,3.0
valor,3.0
glorify,3.0
providence,3.0
ameliorate,3.0
heavenly,3.0
amazement,3.0
delight,3.0
flawless,3.0
aspire,3.0
nimble,3.0
wisdom,3.0
acclaim,3.0
willingness,3.0
hug,3.0
thoughtful,3.0
propitious,3.0
affirmation,3.0
reverence,3.0
morality,3.0
marvel,3.0
inspire,3.0
endear,3.0
bliss,3.0
reverently,3.0
relish,3.0
monumental,3.0
humor,3.0
clean,3.0
enchant,3.0
lover,3.0
meaningful,3.0
self-respect,3.0
imaginative,3.0
gratitude,3.0
beneficiary,3.0
chivalrous,3.0
flexible,3.0
idol,3.0
dote,3.0
affirm,3.0
neat,3.0
admiration,3.0
harmony,3.0
world-famous,3.0
renaissance,3.0
stupendous,3.0
vouchsafe,3.0
redeem,3.0
excel,3.0
extol,3.0
exalt,3.0
beloved,3.0
dignity,3.0
gifted,3.0
excitedness,3.0
splendor,3.0
invaluable,3.0
flatter,3.0
revel,3.0
congratulate,3.0
creative,3.0
witty,3.0
adorable,3.0
memorable,3.0
compliment,3.0
trustworthy,3.0
blithe,3.0
cherish,3.0
respectable,3.0
illustrious,3.0
satisfactorily,3.0
greatness,3.0
fascination,3.0
understandable,3.0
generosity,3.0
soothe,3.0
frolic,3.0
magnificence,3.0
accolade,3.0
intimacy,3.0
remarkably,3.0
educated,3.0
impressive,3.0
excellence,3.0
adulation,3.0
stately,3.0
lustrous,3.0
merriment,3.0
priceless,3.0
love,3.0
surmount,3.0
virtue,3.0
admirer,3.0
chic,3.0
eloquent,3.0
paramount,3.0
peerless,3.0
impartial,3.0
flourish,3.0
infallibility,3.0
amuse,3.0
sagacity,3.0
dreamland,3.0
cute,3.0
enjoyment,3.0
thoughtfulness,3.0
avid,3.0
solace,3.0
attraction,3.0
patriotic,3.0
truthful,3.0
revere,3.0
boundless,3.0
rational,3.0
oasis,3.0
matchless,3.0
honest,3.0
assuredly,3.0
brainy,3.0
optimism,3.0
bravery,3.0
proactive,3.0
workable,3.0
intelligible,3.0
fashionable,3.0
terrific,3.0
proud,3.0
merit,3.0
favorite,3.0
treasure,3.0
enthusiasm,3.0
godlike,3.0
pinnacle,3.0
celebrate,3.0
invincible,3.0
bargain,3.0
wonder,3.0
steadfast,3.0
adore,3.0
fearless,3.0
talented,3.0
adroit,3.0
gaiety,3.0
sensible,3.0
classic,3.0
ethical,3.0
eagerness,3.0
cherub,3.0
zenith,3.0
poetic,3.0
deference,3.0
noble,3.0
amenable,3.0
applaud,3.0
cheery,3.0
togetherness,3.0
staunchness,3.0
relief,3.0
reward,3.0
lavish,3.0
prettily,3.0
exult,3.0
spectacular,3.0
radiant,3.0
earnest,3.0
miracle,3.0
passionate,3.0
divine,3.0
spotless,3.0
gladden,3.0
welcome,3.0
zest,3.0
fondness,3.0
cozy,3.0
luck,3.0
lively,3.0
immaculate,3.0
tranquility,3.0
romantic,3.0
affection,3.0
tranquil,3.0
courtly,3.0
miraculous,3.0
attentive,3.0
remarkable,3.0
homage,3.0
fervor,3.0
straightforward,3.0
fortitude,3.0
trustworthiness,3.0
eminent,3.0
everlasting,3.0
savvy,3.0
persevere,3.0
dazzle,3.0
rapport,3.0
pleasure,3.0
staunch,3.0
exuberance,3.0
motivated,3.0
reassure,3.0
bless,3.0
exquisite,3.0
paradise,3.0
darling,3.0
salute,3.0
jubilant,3.0
fancy,3.0
brave,3.0
glitter,3.0
peaceable,3.0
punctual,3.0
hallowed,3.0
saint,3.0
